model;NumberOfFeatures;NumberOfLeafFeatures;NumberOfTopFeatures;NumberOfConstraints;AverageConstraintSize;CtcDensity;FeaturesInConstraintsDensity;TreeDepth;AverageNumberOfChildren;NumberOfClauses;NumberOfLiterals;ClauseDensity
/automotive01/automotive01.xml;2513;1805;6;2833;2.0;1.0;0.5093513728611222;13;3.5480225988700567;10275;21693;4.088738559490649
/automotive02/automotive2_4.xml;18616;16828;3;1369;2.3067932797662527;1.0;0.0806295659647615;11;10.411073825503356;350221;714210;18.812902879243662
/busybox/busybox_2010-05-02_14-17-07.xml;631;630;630;681;2.2041116005873715;1.0;0.9984152139461173;2;630.0;1312;2762;2.0792393026941363
/CDL/aaed2000.xml;1298;992;34;904;3.081858407079646;1.0;0.8212634822804314;8;4.238562091503268;3228;7146;2.4869029275808936
/CDL/adder.xml;1285;979;31;890;3.0280898876404496;1.0;0.845136186770428;7;4.196078431372549;3135;6558;2.4396887159533076
/CDL/adderII.xml;1289;982;31;890;3.0303370786516854;1.0;0.8448409619860356;7;4.195439739413681;3142;6572;2.4375484871993796
/CDL/aeb.xml;1226;930;31;875;3.049142857142857;1.0;0.8401305057096248;7;4.138513513513513;3032;6597;2.4730831973898857
/CDL/aim711.xml;1277;966;32;912;3.0405701754385963;1.0;0.8386844166014096;8;4.102893890675241;3160;6853;2.4745497259201255
/CDL/aki3068net.xml;1220;920;32;851;2.981198589894242;1.0;0.8401639344262295;7;4.0633333333333335;2962;6218;2.4278688524590164
/CDL/am31_sim.xml;1178;891;30;819;2.9682539682539684;1.0;0.8353140916808149;7;4.101045296167247;2845;5968;2.4151103565365024
/CDL/asb.xml;1244;952;32;851;2.9741480611045827;1.0;0.8191318327974276;7;4.256849315068493;2964;6208;2.382636655948553
/CDL/asb2305.xml;1255;959;32;857;2.9731621936989496;1.0;0.8183266932270916;7;4.236486486486487;2990;6259;2.3824701195219125
/CDL/assabet.xml;1279;966;35;927;3.0204962243797193;1.0;0.8451915559030493;7;4.083067092651757;3163;6865;2.4730258014073496
/CDL/at91sam7sek.xml;1309;999;34;917;3.0774263904034895;1.0;0.8433919022154316;7;4.219354838709678;3221;6978;2.4606569900687547
/CDL/at91sam7xek.xml;1332;1018;34;928;3.0808189655172415;1.0;0.8385885885885885;7;4.238853503184713;3270;7078;2.454954954954955
/CDL/atlas_mips32_4kc.xml;1229;928;33;859;2.980209545983702;1.0;0.8372660699755899;7;4.079734219269103;2973;6229;2.419039869812856
/CDL/atlas_mips64_5kc.xml;1222;923;33;857;2.9743290548424737;1.0;0.837152209492635;7;4.083612040133779;2957;6197;2.4198036006546646
/CDL/brutus.xml;1234;937;33;876;3.045662100456621;1.0;0.8403565640194489;7;4.151515151515151;3040;6598;2.4635332252836304
/CDL/calm16_ceb.xml;1186;899;31;830;2.9662650602409637;1.0;0.836424957841484;7;4.128919860627177;2867;6013;2.417369308600337
/CDL/calm32_ceb.xml;1186;899;31;830;2.9662650602409637;1.0;0.836424957841484;7;4.128919860627177;2867;6013;2.417369308600337
/CDL/ceb_v850.xml;1202;910;30;843;2.9691577698695135;1.0;0.8369384359400999;7;4.113013698630137;2905;6093;2.4168053244592347
/CDL/cerf.xml;1289;973;35;935;3.0203208556149734;1.0;0.8456167571761055;7;4.075949367088608;3190;6926;2.4747866563227308
/CDL/cerfpda.xml;1304;983;35;946;3.016913319238901;1.0;0.8458588957055214;7;4.059190031152648;3228;7002;2.4754601226993866
/CDL/cma230.xml;1225;931;31;868;3.0587557603686637;1.0;0.84;7;4.163265306122449;3020;6561;2.4653061224489794
/CDL/cma28x.xml;1217;921;30;849;2.972909305064782;1.0;0.8348397699260477;7;4.108108108108108;2943;6169;2.418241577649959
/CDL/cme555.xml;1279;981;30;863;3.0011587485515645;1.0;0.815480844409695;7;4.2885906040268456;3062;6419;2.394057857701329
/CDL/cq7708.xml;1252;952;31;858;3.05011655011655;1.0;0.8410543130990416;7;4.17;3102;6653;2.477635782747604
/CDL/cq7750.xml;1281;980;32;864;3.0046296296296298;1.0;0.8181108508977362;7;4.25249169435216;3066;6427;2.3934426229508197
/CDL/csb281.xml;1246;938;31;871;2.979334098737084;1.0;0.8362760834670947;7;4.042207792207792;3006;6297;2.4125200642054576
